3.326128, 1.573782, 0.899266, 4.295265
3.344937, 1.594578, 0.902215, 4.302867
3.347490, 1.597420, 0.902605, 4.303887
3.349826, 1.600022, 0.902959, 4.304818
3.353368, 1.603972, 0.903492, 4.306228
3.369153, 1.621594, 0.905840, 4.312497
3.375041, 1.628203, 0.906682, 4.314811
3.378107, 1.631652, 0.907120, 4.316012
3.379855, 1.633620, 0.907369, 4.316695
3.383853, 1.638125, 0.907936, 4.318256
3.386659, 1.641291, 0.908332, 4.310164
3.388663, 1.643554, 0.908621, 4.304370
3.391577, 1.646848, 0.909049, 4.295931
3.394321, 1.649952, 0.909460, 4.297072
3.396646, 1.652585, 0.909807, 4.298037
3.399944, 1.656322, 0.910296, 4.299403
3.402584, 1.659318, 0.910685, 4.300495
3.406485, 1.663748, 0.911255, 4.302105
3.410774, 1.668625, 0.911875, 4.289637
3.415317, 1.673797, 0.912549, 4.276381
3.419834, 1.678948, 0.913239, 4.263147
3.422758, 1.682287, 0.913701, 4.254549
3.425620, 1.685558, 0.914161, 4.246111
3.428332, 1.688661, 0.914605, 4.238093
3.430991, 1.691706, 0.915049, 4.230214
3.433972, 1.695123, 0.915555, 4.221360
3.443524, 1.706082, 0.917204, 4.221425
3.446659, 1.709692, 0.917733, 4.212069
3.448239, 1.711511, 0.918002, 4.212074
3.450901, 1.714580, 0.918453, 4.212083
3.454556, 1.718796, 0.919064, 4.212095
3.456289, 1.720798, 0.919349, 4.212101
3.460057, 1.725152, 0.919963, 4.212114
3.489401, 1.759095, 0.924645, 4.212211
3.491820, 1.761916, 0.924962, 4.204924
3.494579, 1.765135, 0.925320, 4.196596
3.497119, 1.768099, 0.925643, 4.188911
3.500277, 1.771785, 0.926039, 4.179341
3.505436, 1.777810, 0.926671, 4.179352
3.509987, 1.783131, 0.927186, 4.179362
3.512346, 1.785890, 0.927434, 4.179367
3.514820, 1.788786, 0.927682, 4.179373
3.519390, 1.794135, 0.928119, 4.179382
3.522813, 1.798145, 0.928415, 4.179390
3.537272, 1.815094, 0.929563, 4.179421
